pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	strain	species	genus	family	order	class	phylum	kingdom	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	sample body site	refseq id	habitat	cell shape	id	summary_rank
				Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Aerobe	0.0	Motile	0.0								Achromobacter.json	0.0				Achromobacter	genus
	0.0	Acidaminobacter hydrogenoformans DSM 2784	Acidaminobacter hydrogenoformans	Acidaminobacter	Eubacteriales Family XII. Incertae Sedis	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1120920.0		GCF_900103005.1	2599185234.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Anaerobe	0.0	Nonmotile	0.0	3615609.0	3376.0	1762943.0	49.0	3280.0	97.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/005/GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly	Acidaminobacter.json	0.0				Acidaminobacter	genus
				Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human							0.0	0.0							Gram-	Anaerobe	0.0	0	0.0								Acidaminococcus.json	0.0		0.0	0.0	Acidaminococcus	genus
Propionibacterium acidipropionici ATCC 4875 (1171373.8)				Acidipropionibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Human		1171373.8			PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Food production	Unclassified	Dairy products	Gram+	Anaerobe	0.0		0.0				69.0				Acidipropionibacterium.json	0.0	GCF_000162935.1			Acidipropionibacterium	genus
				Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria	Mouse					Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0							Gram-	Obligate aerobe	0.0		0.0								Acidobacterium.json	0.0		0.0	0.0	Acidobacterium	genus
	0.0	Acidovorax caeni	Acidovorax caeni	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	343013.0		GCF_001298675.1	2740892283.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Anaerobe	0.0	Motile	0.0	4174129.0	3952.0	2734603.0	66.0	3882.0	98.23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/675/GCF_001298675.1_Draft_Genome	Acidovorax.json	0.0	GCF_001298675.1	0.0		Acidovorax	genus
				Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Aerobe	0.0		0.0								Acinetobacter.json	0.0				Acinetobacter	genus
			Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Aerobe		Nonmotile									Actinobacillus.json					Actinobacillus	genus
				Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria								0.0	0.0							Gram+	Facultative anaerobe	0.0		0.0								Actinomyces.json	0.0		0.0	0.0	Actinomyces	genus
	0.0	Acutalibacter muris	Acutalibacter muris	Acutalibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	1796620.0		GCF_002201475.1	2757320831.0	PMID:27670113	Literature research	0.0	0.0	Yes	0.0	Host-associated	Mammals	Unclassified	Unclassified	Gram+	Anaerobe	0.0	0	0.0	3802913.0	3883.0	2077940.0	55.0	3819.0	98.35	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/475/GCF_002201475.1_ASM220147v1	Acutalibacter.json	0.0	NZ_CP021422	0.0	0.0	Acutalibacter	genus
				Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria								0.0	0.0	Yes	0.0					Gram+		0.0		0.0								Adlercreutzia.json	0.0			0.0	Adlercreutzia	genus
	0.0	Advenella mimigardefordensis DPN7	Advenella mimigardefordensis	Advenella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	1247726.0		GCF_000521505.1	2548877156.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Engineered	Solid waste	Composting	Unknown material	Gram-	Obligate aerobe		Motile	0.0	4764126.0	4129.0	2583218.0	54.0	4084.0	98.91	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/505/GCF_000521505.1_ASM52150v1	Advenella.json	0.0	GCF_000521505.1			Advenella	genus
				Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+	Microaerophile	0.0		0.0				39.0				Aerococcus.json	0.0		0.0	0.0	Aerococcus	genus
Aeromicrobium sp. JC14 (1033730.3)	1.0	Aeromicrobium massiliense JC14	Aeromicrobium massiliense	Aeromicrobium	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Human	1033730.0	1033730.3	GCF_000312105.1	2636416159.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Aerobe	0.0	Motile		6757104.0	7156.0	4426853.0	66.0	7042.0	98.41	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/312/105/GCF_000312105.1_ASM31210v1	Aeromicrobium.json		GCF_000312105.1			Aeromicrobium	genus
				Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobe	0.0		0.0								Aeromonas.json	0.0				Aeromonas	genus
Afipia birgiae 34632 (1197906.5)	2.0	Afipia birgiae 34632	Afipia birgiae	Afipia	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Human	1197906.0	1197906.5	GCF_000308295.2	2551306146.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Environmental	Aquatic	Drinking water	Freshwater	Gram-	0	0.0	0	0.0	5245459.0	5198.0	3191067.0	61.0	5125.0	98.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/295/GCF_000308295.2_Ab_34632	Afipia.json	0.0	GCF_000204115.1		0.0	Afipia	genus
	0.0	Agathobaculum desmolans ATCC 43058	Agathobaculum desmolans	Agathobaculum	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1408437.0		GCF_000701665.1	2561511082.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Animal	Intestine	Digestive system	Gram+	0	0.0	0	0.0	2652605.0	2763.0	1434154.0	54.0	2695.0	97.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/665/GCF_000701665.1_ASM70166v1	Agathobaculum.json	0.0			0.0	Agathobaculum	genus
				Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobic	0.0		0.0								Aggregatibacter.json					Aggregatibacter	genus
				Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-				0.0								Agrobacterium.json	0.0				Agrobacterium	genus
Akkermansia muciniphila ATCC BAA-835 (349741.6)				Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria	Human		349741.6					0.0	0.0	Yes	0.0					Gram-		0.0		0.0								Akkermansia.json					Akkermansia	genus
			Alcaligenes faecalis	Alcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0		0.0								Alcaligenes.json	0.0		0.0	0.0	Alcaligenes	genus
			Aliarcobacter butzleri	Aliarcobacter	Arcobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Motile					27.0				Aliarcobacter.json					Aliarcobacter	genus
	1.0			Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	Human					PMID:31092280	DAR genome selection	0.0	0.0	Yes	0.0	Host-associated		Unclassified	Unclassified	Gram-	Facultative	0.0	Motile	0.0								Aliivibrio.json	0.0				Aliivibrio	genus
				Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria								0.0	0.0	Yes	0.0					Gram-	Obligate anaerobe	0.0										Alistipes.json					Alistipes	genus
	0.0	Alkalibaculum bacchi	Alkalibaculum bacchi	Alkalibaculum	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	645887.0		GCF_003317055.1	2770939553.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram+	Anaerobe	0.0	0	0.0	3098941.0	2947.0	1074836.0	35.0	2859.0	97.01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/317/055/GCF_003317055.1_ASM331705v1	Alkalibaculum.json	0.0	GCF_003317055.1		0.0	Alkalibaculum	genus
				Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+		0.0		0.0								Alkalihalobacillus.json	0.0		0.0	0.0	Alkalihalobacillus	genus
Bacillus pseudofirmus OF4 (398511.4)	2.0	Alkalihalophilus pseudofirmus OF4	Alkalihalophilus pseudofirmus	Alkalihalophilus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Human	398511.0	398511.4	GCF_000005825.2	646311908.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram+	Facultative anaerobe	0.0	Motile	0.0	4249248.0	4434.0	1693774.0	40.0	4335.0	97.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/825/GCF_000005825.2_ASM582v2	Alkalihalophilus.json	0.0				Alkalihalophilus	genus
	0.0	Alkaliphilus transvaalensis ATCC 700919	Alkaliphilus transvaalensis	Alkaliphilus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	1408422.0		GCF_000621485.1	2558309003.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Engineered	Wastewater	Mine water	Industrial wastewater	Gram+	0	0.0	0	0.0	4024838.0	3800.0	1366246.0	34.0	3729.0	98.13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/485/GCF_000621485.1_ASM62148v1	Alkaliphilus.json	0.0			0.0	Alkaliphilus	genus
Allobaculum stercoricanis DSM 13633 (1050201.3)	1.0	Allobaculum stercoricanis DSM 13633	Allobaculum stercoricanis	Allobaculum	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	Mouse	1050201.0	1050201.3	GCF_000384195.1	2516493028.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Host-associated	Mammals	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0		2052877.0	1853.0	776526.0	38.0	1748.0	94.33	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/384/195/GCF_000384195.1_ASM38419v1	Allobaculum.json					Allobaculum	genus
Alloiococcus otitis ATCC 51267 (883081.3)	1.0	Alloiococcus otitis ATCC 51267	Alloiococcus otitis	Alloiococcus	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Human	883081.0	883081.3	GCF_000315445.1	2537561904.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Skin	Gram+	0	0.0	0	0.0	1784056.0	1691.0	795717.0	45.0	1630.0	96.39	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/445/GCF_000315445.1_Allo_otit_ATCC_51267_V1	Alloiococcus.json				0.0	Alloiococcus	genus
				Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated			Digestive system	Gram-	Anaerobe	0.0		0.0								Alloprevotella.json					Alloprevotella	genus
	0.0		Alloscardovia omnicolens	Alloscardovia	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	Human					PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human			Gram+	Anaerobe	0.0	Nonmotile	0.0				47.0				Alloscardovia.json	0.0		0.0	0.0	Alloscardovia	genus
Eubacterium dolichum DSM 3991 (428127.7)	2.0	Amedibacillus dolichus DSM 3991	Amedibacillus dolichus	Amedibacillus	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	Human	428127.0	428127.7	GCF_000154285.1	641380446.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0	2190453.0	2398.0	834744.0	38.0	2350.0	98.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/285/GCF_000154285.1_ASM15428v1	Amedibacillus.json					Amedibacillus	genus
	0.0	Aminivibrio pyruvatiphilus	Aminivibrio pyruvatiphilus	Aminivibrio	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria	Human	1005740.0		GCF_004366815.1	2756170234.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram-	Anaerobe	0.0	0	0.0	3347494.0	3061.0	1996312.0	60.0	3005.0	98.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/366/815/GCF_004366815.1_ASM436681v1	Aminivibrio.json	0.0	GCF_004366815.1	0.0	0.0	Aminivibrio	genus
	0.0	Anaerobiospirillum succiniciproducens DSM 6400	Anaerobiospirillum succiniciproducens	Anaerobiospirillum	Succinivibrionaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	1120988.0		GCF_000482845.1	2528768184.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Respiratory system	Gram-	Anaerobe		Motile		3806682.0	2345.0	1655154.0	44.0	2267.0	96.67	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/482/845/GCF_000482845.1_ASM48284v1	Anaerobiospirillum.json					Anaerobiospirillum	genus
Eubacterium hallii DSM 3353 (411469.3)				Anaerobutyricum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human		411469.3		643886203.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+		0.0	0	0.0	3290996.0	3297.0	1256957.0	38.0	3233.0	98.06		Anaerobutyricum.json					Anaerobutyricum	genus
				Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0					Gram+		0.0										Anaerococcus.json					Anaerococcus	genus
Anaerofustis stercorihominis DSM 17244 (445971.6)	2.0	Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis	Anaerofustis	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	445971.0	445971.6	GCF_000154825.1	641736193.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0	2284603.0	2381.0	761765.0	33.0	2331.0	97.9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/825/GCF_000154825.1_ASM15482v1	Anaerofustis.json					Anaerofustis	genus
Anaeroglobus geminatus F0357 (861450.3)	1.0	Anaeroglobus geminatus F0357	Anaeroglobus geminatus	Anaeroglobus	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	Human	861450.0	861450.3	GCF_000239275.1	2513237300.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Oral	Digestive system	Gram-	Anaerobe	0.0	Nonmotile	0.0	1794202.0	2198.0	879309.0	49.0	2148.0	97.73	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/275/GCF_000239275.1_ASM23927v1	Anaeroglobus.json					Anaeroglobus	genus
	0.0	Anaeroplasma bactoclasticum	Anaeroplasma bactoclasticum	Anaeroplasma	Anaeroplasmataceae	Anaeroplasmatales	Mollicutes	Tenericutes	Bacteria	Human	2088.0		GCF_003550015.1	2588253517.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	0	0.0	0	0.0	2199979.0	2040.0	680828.0	31.0	1963.0	96.23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/550/015/GCF_003550015.1_ASM355001v1	Anaeroplasma.json	0.0	GCF_003550015.1	0.0	0.0	Anaeroplasma	genus
	0.0			Anaerosalibacter	Tissierellaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria							Literature research									Gram+												Anaerosalibacter.json		GCF_009696605.1			Anaerosalibacter	genus
	0.0	Anaerosporobacter mobilis DSM 15930	Anaerosporobacter mobilis	Anaerosporobacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1120996.0		GCF_900142955.1	2588253509.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram+	Anaerobe	0.0	Motile	0.0	5217774.0	4645.0	1822850.0	35.0	4551.0	97.98	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/142/955/GCF_900142955.1_IMG-taxon_2588253509_annotated_assembly	Anaerosporobacter.json	0.0				Anaerosporobacter	genus
				Anaerostipes	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0								Anaerostipes.json					Anaerostipes	genus
	0.0			Anaerotignum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse					Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0					Gram+	Anaerobe	0.0										Anaerotignum.json					Anaerotignum	genus
				Anaerotruncus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human							0.0	0.0	Yes	0.0	Host-associated				Gram+		0.0		0.0								Anaerotruncus.json					Anaerotruncus	genus
	0.0	Anaerovorax odorimutans DSM 5092	Anaerovorax odorimutans	Anaerovorax	Eubacteriales Family XIII. Incertae Sedis	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	1120998.0		GCF_000426305.1	2524614531.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Aquatic	Saline	Non-marine Saline and Alkaline	Gram+	Anaerobe	0.0	Motile	0.0	3265560.0	3015.0	1028561.0	32.0	2944.0	97.65	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/426/305/GCF_000426305.1_ASM42630v1	Anaerovorax.json	0.0				Anaerovorax	genus
	0.0	Aneurinibacillus aneurinilyticus ATCC 12856	Aneurinibacillus aneurinilyticus	Aneurinibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Human	649747.0		GCF_000466385.1	2563366762.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Obligate aerobe	0.0	0		5302959.0	6261.0	2293199.0	43.0	6214.0	99.25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/385/GCF_000466385.1_ASM46638v1	Aneurinibacillus.json				0.0	Aneurinibacillus	genus
	0.0		Apilactobacillus kunkeei	Apilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria						Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0					Gram+	Facultative anaerobe	0.0		0.0								Apilactobacillus.json	0.0		0.0	0.0	Apilactobacillus	genus
