pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species	refseq id	sample body site	habitat	cell shape	id	summary_rank
Acidobacterium capsulatum ATCC 51196 (240015.3)	1.0	Mouse	240015.0	240015.3	GCF_000022565.1	643692001.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Mine	Geologic	Gram-	Obligate aerobe	0.0	Nonmotile	0.0	4127356.0	3425.0	2496927.0	60.0	3377.0	98.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/565/GCF_000022565.1_ASM2256v1	g__Acidobacterium.json	240015.0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Acidobacterium	s__Acidobacterium capsulatum		0.0			g__Acidobacterium	genus
		Human							0.0	0.0	Yes						Gram-	Aerobe	0.0		0.0								g__Acinetobacter.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter			0.0			g__Acinetobacter	genus
		Human							0.0	0.0	Yes						Gram-	Aerobe		Nonmotile									g__Actinobacillus.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Actinobacillus	s__Actinobacillus lignieresii					g__Actinobacillus	genus
									0.0	0.0							Gram+	Facultative anaerobe	0.0		0.0								g__Actinomyces.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces			0.0	0.0	0.0	g__Actinomyces	genus
	0.0							Literature research	0.0	0.0	Yes	0.0	Host-associated	Mammals	Unclassified	Unclassified	Gram+		0.0	0	0.0				55.0		98.35		g__Acutalibacter.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter			0.0	0.0	0.0	g__Acutalibacter	genus
									0.0	0.0	Yes	0.0					Gram+		0.0		0.0								g__Adlercreutzia.json		d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia			0.0		0.0	g__Adlercreutzia	genus
	0.0	Human	1247726.0		GCF_000521505.1	2548877156.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Engineered	Solid waste	Composting	Unknown material	Gram-	Obligate aerobe		Motile	0.0	4764126.0	4129.0	2583218.0	54.0	4084.0	98.91	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/505/GCF_000521505.1_ASM52150v1	g__Advenella.json	1247726.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Advenella	s__Advenella mimigardefordensis	GCF_000521505.1	0.0			g__Advenella	genus
	0.0	Human	755172.0		GCF_001553115.1	2775506924.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	0	0.0	0	0.0	1832036.0	1769.0	817576.0	45.0	1728.0	97.68	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/115/GCF_001553115.1_ASM155311v1	g__Aedoeadaptatus.json	755172.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Aedoeadaptatus	s__Aedoeadaptatus coxii	GCF_001553115.1	0.0	0.0	0.0	g__Aedoeadaptatus	genus
		Human							0.0	0.0	Yes	0.0					Gram+	Microaerophile	0.0		0.0				39.0				g__Aerococcus.json		d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus			0.0	0.0	0.0	g__Aerococcus	genus
Aeromicrobium sp. JC14 (1033730.3)	1.0	Human	1033730.0	1033730.3	GCF_000312105.1	2636416159.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Aerobe	0.0	Motile		6757104.0	7156.0	4426853.0	66.0	7042.0	98.41	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/312/105/GCF_000312105.1_ASM31210v1	g__Aeromicrobium.json	1033730.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	s__Aeromicrobium massiliense	GCF_000312105.1				g__Aeromicrobium	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobe	0.0		0.0								g__Aeromonas.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas			0.0			g__Aeromonas	genus
Afipia birgiae 34632 (1197906.5)	2.0	Human	1197906.0	1197906.5	GCF_000308295.2	2551306146.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Environmental	Aquatic	Drinking water	Freshwater	Gram-	0	0.0	0	0.0	5245459.0	5198.0	3191067.0	61.0	5125.0	98.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/295/GCF_000308295.2_Ab_34632	g__Afipia.json	1197906.0	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__Afipia birgiae	GCF_000204115.1	0.0		0.0	g__Afipia	genus
	0.0	Human	1408437.0		GCF_000701665.1	2561511082.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Animal	Intestine	Digestive system	Gram+	0	0.0	0	0.0	2652605.0	2763.0	1434154.0	54.0	2695.0	97.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/665/GCF_000701665.1_ASM70166v1	g__Agathobaculum.json	1408437.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum desmolans		0.0		0.0	g__Agathobaculum	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Facultative anaerobic	0.0		0.0								g__Aggregatibacter.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Aggregatibacter						g__Aggregatibacter	genus
		Human							0.0	0.0	Yes						Gram-				0.0								g__Agrobacterium.json		d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium			0.0			g__Agrobacterium	genus
Akkermansia muciniphila ATCC BAA-835 (349741.6)		Human		349741.6					0.0	0.0	Yes	0.0					Gram-		0.0		0.0								g__Akkermansia.json		d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia						g__Akkermansia	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0		0.0								g__Alcaligenes.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Alcaligenes			0.0	0.0	0.0	g__Alcaligenes	genus
		Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Motile					27.0				g__Aliarcobacter.json		d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter butzleri					g__Aliarcobacter	genus
	1.0	Human					PMID:31092280	DAR genome selection	0.0	0.0	Yes	0.0	Host-associated		Unclassified	Unclassified	Gram-	Facultative	0.0	Motile	0.0								g__Aliivibrio.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Aliivibrio			0.0			g__Aliivibrio	genus
									0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Obligate anaerobe	0.0	Nonmotile									g__Alistipes.json		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes						g__Alistipes	genus
		Human							0.0	0.0	Yes	0.0	Host-associated	Human			Gram-	Obligate anaerobe	0.0	Nonmotile	0.0								g__Alistipes_A.json		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A			0.0	0.0	0.0	g__Alistipes_A	genus
	0.0	Human	645887.0		GCF_003317055.1	2770939553.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram+	Anaerobe	0.0	0	0.0	3098941.0	2947.0	1074836.0	35.0	2859.0	97.01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/317/055/GCF_003317055.1_ASM331705v1	g__Alkalibaculum.json	645887.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Alkalibacteraceae	g__Alkalibaculum	s__Alkalibaculum bacchi_A	GCF_003317055.1	0.0		0.0	g__Alkalibaculum	genus
Bacillus pseudofirmus OF4 (398511.4)	2.0	Human	398511.0	398511.4	GCF_000005825.2	646311908.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram+	Facultative anaerobe	0.0	Motile	0.0	4249248.0	4434.0	1693774.0	40.0	4335.0	97.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/825/GCF_000005825.2_ASM582v2	g__Alkalihalophilus.json	398511.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_D	g__Alkalihalophilus	s__Alkalihalophilus pseudofirmus		0.0			g__Alkalihalophilus	genus
	0.0	Mouse	1408422.0		GCF_000621485.1	2558309003.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Engineered	Wastewater	Mine water	Industrial wastewater	Gram+	0	0.0	0	0.0	4024838.0	3800.0	1366246.0	34.0	3729.0	98.13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/485/GCF_000621485.1_ASM62148v1	g__Alkaliphilus.json	1408422.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Natronincolaceae	g__Alkaliphilus	s__Alkaliphilus transvaalensis		0.0		0.0	g__Alkaliphilus	genus
	0.0	Human	39950.0		GCF_001717505.1	2718217754.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Oral	Digestive system	Gram-	0	0.0	0	0.0	1274073.0	1272.0	448350.0	35.0	1198.0	94.18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/505/GCF_001717505.1_ASM171750v1	g__Allisonella.json	39950.0	d__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Allisonella	s__Allisonella pneumosinta	GCF_001717505.1	0.0	0.0	0.0	g__Allisonella	genus
Allobaculum stercoricanis DSM 13633 (1050201.3)	1.0	Mouse	1050201.0	1050201.3	GCF_000384195.1	2516493028.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Host-associated	Mammals	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0		2052877.0	1853.0	776526.0	38.0	1748.0	94.33	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/384/195/GCF_000384195.1_ASM38419v1	g__Allobaculum.json	1050201.0	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum	s__Allobaculum stercoricanis					g__Allobaculum	genus
Coprococcus comes ATCC 27758 (470146.3)	2.0	Human	470146.0	470146.3	GCF_000155875.1	643886116.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	Nonmotile	0.0	3238915.0	3974.0	1376195.0	42.0	3913.0	98.47	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/875/GCF_000155875.1_ASM15587v1	g__Allocoprococcus.json	470146.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Allocoprococcus	s__Allocoprococcus comes					g__Allocoprococcus	genus
Alloiococcus otitis ATCC 51267 (883081.3)	1.0	Human	883081.0	883081.3	GCF_000315445.1	2537561904.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Skin	Gram+	0	0.0	0	0.0	1784056.0	1691.0	795717.0	45.0	1630.0	96.39	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/445/GCF_000315445.1_Allo_otit_ATCC_51267_V1	g__Alloiococcus.json	883081.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae_A	g__Alloiococcus	s__Alloiococcus otitis				0.0	g__Alloiococcus	genus
Meiothermus silvanus DSM 9946 (526227.6)	1.0	Human	526227.0	526227.6	GCF_000092125.1	646564546.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Environmental	Aquatic	Unclassified	Thermal springs	Gram-	Aerobe	0.0	Nonmotile	0.0	3721669.0	3720.0	2334056.0	63.0	3665.0	98.52	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/125/GCF_000092125.1_ASM9212v1	g__Allomeiothermus.json	526227.0	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Allomeiothermus	s__Allomeiothermus silvanus		0.0			g__Allomeiothermus	genus
		Human							0.0	0.0	Yes	0.0	Host-associated			Digestive system	Gram-	Anaerobe	0.0		0.0								g__Alloprevotella.json		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella						g__Alloprevotella	genus
	0.0	Human					PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human			Gram+	Anaerobe	0.0	Nonmotile	0.0				47.0				g__Alloscardovia.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Alloscardovia	s__Alloscardovia omnicolens		0.0	0.0	0.0	g__Alloscardovia	genus
Eubacterium dolichum DSM 3991 (428127.7)	2.0	Human	428127.0	428127.7	GCF_000154285.1	641380446.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0	2190453.0	2398.0	834744.0	38.0	2350.0	98.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/285/GCF_000154285.1_ASM15428v1	g__Amedibacillus.json	428127.0	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Amedibacillus	s__Amedibacillus dolichus					g__Amedibacillus	genus
	0.0	Human	155865.0		GCF_900102225.1	2654588172.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Obligate anaerobe	0.0	0	0.0	2275694.0	2076.0	1238330.0	54.0	2007.0	96.68	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/225/GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly	g__Aminicella.json	155865.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Aminicella	s__Aminicella pyruvativorans		0.0	0.0	0.0	g__Aminicella	genus
	0.0	Human	1005740.0		GCF_004366815.1	2756170234.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram-	Anaerobe	0.0	0	0.0	3347494.0	3061.0	1996312.0	60.0	3005.0	98.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/366/815/GCF_004366815.1_ASM436681v1	g__Aminivibrio.json	1005740.0	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Aminobacteriaceae	g__Aminivibrio	s__Aminivibrio pyruvatiphilus	GCF_004366815.1	0.0	0.0	0.0	g__Aminivibrio	genus
	0.0	Human	1120988.0		GCF_000482845.1	2528768184.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Respiratory system	Gram-	Anaerobe		Motile		3806682.0	2345.0	1655154.0	44.0	2267.0	96.67	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/482/845/GCF_000482845.1_ASM48284v1	g__Anaerobiospirillum.json	1120988.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Succinivibrionaceae	g__Anaerobiospirillum	s__Anaerobiospirillum succiniciproducens					g__Anaerobiospirillum	genus
Eubacterium hallii DSM 3353 (411469.3)	2.0	Human	411469.0	411469.3	GCF_000173975.1	643886203.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0	3290996.0	3297.0	1256957.0	38.0	3233.0	98.06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/975/GCF_000173975.1_ASM17397v1	g__Anaerobutyricum.json	411469.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum hallii					g__Anaerobutyricum	genus
		Human							0.0	0.0	Yes	0.0					Gram+		0.0										g__Anaerococcus.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Anaerococcus						g__Anaerococcus	genus
Anaerofustis stercorihominis DSM 17244 (445971.6)	2.0	Human	445971.0	445971.6	GCF_000154825.1	641736193.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Anaerobe	0.0	0	0.0	2284603.0	2381.0	761765.0	33.0	2331.0	97.9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/825/GCF_000154825.1_ASM15482v1	g__Anaerofustis.json	445971.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Anaerofustaceae	g__Anaerofustis	s__Anaerofustis stercorihominis					g__Anaerofustis	genus
	0.0							Literature research									Gram+												g__Anaerosalibacter.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Tissierellales	f__Sporanaerobacteraceae	g__Anaerosalibacter		GCF_009696605.1				g__Anaerosalibacter	genus
	0.0	Human	1120996.0		GCF_900142955.1	2588253509.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Unclassified	Soil	Gram+	Anaerobe	0.0	Motile	0.0	5217774.0	4645.0	1822850.0	35.0	4551.0	97.98	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/142/955/GCF_900142955.1_IMG-taxon_2588253509_annotated_assembly	g__Anaerosporobacter.json	1120996.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerosporobacter	s__Anaerosporobacter mobilis		0.0			g__Anaerosporobacter	genus
		Human							0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+		0.0		0.0								g__Anaerostipes.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes						g__Anaerostipes	genus
	0.0	Mouse	1121323.0		GCF_900142265.1	2585428190.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Host-associated	Birds	Unclassified	Digestive system	Gram+	Anaerobe	0.0	Nonmotile		3546077.0	3621.0	1603877.0	45.0	3532.0	97.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/142/265/GCF_900142265.1_IMG-taxon_2585428190_annotated_assembly	g__Anaerotignum.json	1121323.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__Anaerotignum lactatifermentans					g__Anaerotignum	genus
		Human							0.0	0.0	Yes	0.0	Host-associated				Gram+	Anaerobe	0.0		0.0								g__Anaerotruncus.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerotruncus						g__Anaerotruncus	genus
	0.0	Mouse	1120998.0		GCF_000426305.1	2524614531.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Aquatic	Saline	Non-marine Saline and Alkaline	Gram+	Anaerobe	0.0	Motile	0.0	3265560.0	3015.0	1028561.0	32.0	2944.0	97.65	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/426/305/GCF_000426305.1_ASM42630v1	g__Anaerovorax.json	1120998.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Anaerovorax	s__Anaerovorax odorimutans		0.0			g__Anaerovorax	genus
	0.0	Human	649747.0		GCF_000466385.1	2563366762.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	Obligate aerobe	0.0	0		5302959.0	6261.0	2293199.0	43.0	6214.0	99.25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/385/GCF_000466385.1_ASM46638v1	g__Aneurinibacillus.json	649747.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus aneurinilyticus				0.0	g__Aneurinibacillus	genus
