2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	host	ncbi taxonomy id	refseq id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body site	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species	habitat	pubseedid	annotation version id	cell shape	id	summary_rank
	Human							0.0	0.0	Yes		Host-associated		Unclassified		Gram-	Anaerobe	0.0	0		0.0				50.0				s__Acidaminococcus_intestini.json		d__Bacteria	p__Bacillota	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus intestini					s__Acidaminococcus_intestini	species
0.0	Human	1852375.0	GCF_900095825.1	GCF_900095825.1		PMID:30745586	Literature research									Gram-												ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/825/GCF_900095825.1_PRJEB15304	s__Acidaminococcus_massiliensis.json	1852375.0	d__Bacteria	p__Bacillota	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus massiliensis					s__Acidaminococcus_massiliensis	species
2.0	Human	1171373.0	GCF_000162935.1	GCF_000310065.1	2521172602.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Food production	Unclassified	Dairy products	Gram+	Anaerobe	0.0	Nonmotile	0.0	0.0	3656170.0	3401.0	2514482.0	69.0	3336.0	98.09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/310/065/GCF_000310065.1_ASM31006v1	s__Acidipropionibacterium_acidipropionici.json	1171373.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Acidipropionibacterium	s__Acidipropionibacterium acidipropionici		Propionibacterium acidipropionici ATCC 4875 (1171373.8)	1171373.8		s__Acidipropionibacterium_acidipropionici	species
0.0	Human	1122997.0		GCF_000425285.1	2523533551.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Food production	Unclassified	Dairy products	Gram+	Anaerobe	0.0	0	0.0	0.0	3028354.0	2781.0	2079158.0	69.0	2719.0	97.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/285/GCF_000425285.1_ASM42528v1	s__Acidipropionibacterium_jensenii.json	1122997.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Acidipropionibacterium	s__Acidipropionibacterium jensenii				0.0	s__Acidipropionibacterium_jensenii	species
1.0	Mouse	240015.0		GCF_000022565.1	643692001.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Mine	Geologic	Gram-	Obligate aerobe	0.0	Nonmotile	0.0	0.0	4127356.0	3425.0	2496927.0	60.0	3377.0	98.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/565/GCF_000022565.1_ASM2256v1	s__Acidobacterium_capsulatum.json	240015.0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Acidobacterium	s__Acidobacterium capsulatum		Acidobacterium capsulatum ATCC 51196 (240015.3)	240015.3		s__Acidobacterium_capsulatum	species
	Human							0.0	0.0	Yes						Gram-	Aerobe	0.0	Nonmotile	0.0	0.0								s__Acinetobacter_baumannii.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii					s__Acinetobacter_baumannii	species
	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0	0.0				39.0				s__Acinetobacter_calcoaceticus.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter calcoaceticus	0.0			0.0	s__Acinetobacter_calcoaceticus	species
2.0	Human	1217690.0	GCF_000368945.1	GCF_000399665.1	2531839648.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Aerobe	0.0	Nonmotile	0.0	0.0	3824391.0	3627.0	1475116.0	39.0	3534.0	97.44	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/399/665/GCF_000399665.1_Acin_calc_ANC_3811_V1	s__Acinetobacter_calcoaceticus_B.json	1217690.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter calcoaceticus_B	0.0	Acinetobacter calcoaceticus ANC 3811 (1217690.3)	1217690.3	0.0	s__Acinetobacter_calcoaceticus_B	species
2.0	Human	903918.0		GCF_000314615.1	2531839355.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes		Engineered	Built environment	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	0.0	4047401.0	3967.0	1725120.0	43.0	3887.0	97.98	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/615/GCF_000314615.1_gacin30v1.0	s__Acinetobacter_courvalinii.json	903918.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter courvalinii		Acinetobacter baumannii WC-323 (903918.3)	903918.3		s__Acinetobacter_courvalinii	species
2.0	Human					Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0		0.0	0.0				43.0				s__Acinetobacter_fasciculus.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter fasciculus	0.0			0.0	s__Acinetobacter_fasciculus	species
	Human					https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0	0.0				38.0				s__Acinetobacter_guillouiae.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter guillouiae	0.0			0.0	s__Acinetobacter_guillouiae	species
	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile										s__Acinetobacter_haemolyticus.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter haemolyticus					s__Acinetobacter_haemolyticus	species
2.0	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0		0.0	0.0								s__Acinetobacter_johnsonii.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter johnsonii	0.0			0.0	s__Acinetobacter_johnsonii	species
2.0	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0	0.0								s__Acinetobacter_junii.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter junii	0.0			0.0	s__Acinetobacter_junii	species
	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0	0.0				39.0				s__Acinetobacter_nosocomialis.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter nosocomialis	0.0			0.0	s__Acinetobacter_nosocomialis	species
	Human							0.0	0.0	Yes						Gram-	Aerobe	0.0		0.0	0.0				39.0				s__Acinetobacter_pittii.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter pittii					s__Acinetobacter_pittii	species
2.0	Human	1217691.0	GCF_000369025.1	GCF_000399685.1	2531839649.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Aerobe	0.0	0	0.0	0.0	3830551.0	3606.0	1486381.0	39.0	3520.0	97.62	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/399/685/GCF_000399685.1_Acin_pitt_ANC_4050_V1	s__Acinetobacter_pittii_E.json	1217691.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter pittii_E	0.0	Acinetobacter pittii ANC 4050 (1217691.3)	1217691.3	0.0	s__Acinetobacter_pittii_E	species
2.0	Human							0.0	0.0	Yes		Host-associated		Unclassified		Gram-	Aerobe	0.0		0.0	0.0								s__Acinetobacter_radioresistens.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter radioresistens					s__Acinetobacter_radioresistens	species
2.0	Human	903915.0		GCF_000313935.1	2531839352.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes		Host-associated	Human	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	0.0	3932253.0	3886.0	1527729.0	39.0	3812.0	98.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/935/GCF_000313935.1_gacin27v1.0	s__Acinetobacter_sp000313935.json	903915.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp000313935		Acinetobacter baumannii WC-141 (903915.3)	903915.3		s__Acinetobacter_sp000313935	species
2.0	Human	1217668.0	GCF_000487975.1	GCF_000369145.1	2534682026.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Aerobe	0.0	0	0.0	0.0	3276129.0	3166.0	1404927.0	43.0	3088.0	97.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/369/145/GCF_000369145.1_Acin_lwof_NIPH_478_V1	s__Acinetobacter_sp049896445.json	1217668.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp049896445	0.0	Acinetobacter lwoffii NIPH 478 (1217668.3)	1217668.3	0.0	s__Acinetobacter_sp049896445	species
	Human							0.0	0.0	Yes						Gram-	Aerobe		Nonmotile										s__Actinobacillus_lignieresii.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Actinobacillus	s__Actinobacillus lignieresii					s__Actinobacillus_lignieresii	species
0.0	Human	1120943.0	GCF_000429265.1	GCF_000429265.1	2524023137.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Skin	Gram+	Facultative anaerobe	0.0	Nonmotile	0.0	0.0	3420019.0	2893.0	2418367.0	71.0	2826.0	97.68	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/429/265/GCF_000429265.1_ASM42926v1	s__Actinomyces_gerencseriae.json	1120943.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces gerencseriae				0.0	s__Actinomyces_gerencseriae	species
2.0	Human	435830.0		GCF_000239695.1	2513237375.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Unclassified	Respiratory system	Gram+	Facultative anaerobe	0.0	Nonmotile			2196917.0	1910.0	1269862.0	58.0	1853.0	97.02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/695/GCF_000239695.1_Acti_grae_C83_V1	s__Actinomyces_graevenitzii.json	435830.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces graevenitzii		Actinomyces graevenitzii C83 (435830.3)	435830.3		s__Actinomyces_graevenitzii	species
0.0	Human	1120944.0	GCF_000711965.1	GCF_000711965.1	2565956542.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes		Host-associated	Human	Unclassified	Skin	Gram+	Facultative anaerobe	0.0	0		0.0	4027570.0	3411.0	2875784.0	71.0	3346.0	98.09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/711/965/GCF_000711965.1_ASM71196v1	s__Actinomyces_israelii.json	1120944.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces israelii					s__Actinomyces_israelii	species
0.0	Human					PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Oral	Digestive system	Gram+	Facultative anaerobe	0.0	0						67.0		98.52		s__Actinomyces_johnsonii.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces johnsonii				0.0	s__Actinomyces_johnsonii	species
1.0	Human					PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human			Gram+	Facultative anaerobe	0.0	Nonmotile		0.0				68.0				s__Actinomyces_massiliensis.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces massiliensis					s__Actinomyces_massiliensis	species
2.0	Human	1115803.0		GCF_000285995.1	2531839542.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Nasopharyngeal	Respiratory system	Gram+	Facultative anaerobe	0.0	0			3114341.0	2987.0	2113169.0	68.0	2930.0	98.09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/995/GCF_000285995.1_AneasH279v1.0	s__Actinomyces_naeslundii.json	1115803.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces naeslundii		Actinomyces naeslundii str. Howell 279 (1115803.3)	1115803.3	0.0	s__Actinomyces_naeslundii	species
2.0	Human	562973.0		GCF_000175315.3	2562617184.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Unclassified	Unclassified	Gram+	Facultative anaerobe	0.0	Nonmotile			3126396.0	2643.0	2144572.0	69.0	2587.0	97.88	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/315/GCF_000175315.3_Acti_vis_C505_V3	s__Actinomyces_oris.json	562973.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces oris		Actinomyces viscosus C505 (562973.4)	562973.4		s__Actinomyces_oris	species
2.0	Human	871541.0	GCF_000163415.1	GCF_000180155.1	649989901.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		0	0	0	0	Gram+	Facultative anaerobe	0.0	0	0.0	0.0	2872429.0	2992.0	1947547.0	68.0	2939.0	98.23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/155/GCF_000180155.1_ASM18015v1	s__Actinomyces_oris_A.json	871541.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces oris_A		Actinomyces oris K20 (871541.3)	871541.3		s__Actinomyces_oris_A	species
0.0	Human	521393.0	GCF_000295095.1	GCF_000295095.1	2548877015.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Facultative anaerobe	0.0	0	0.0	0.0	2913054.0	2551.0	2074049.0	71.0	2488.0	97.53	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/095/GCF_000295095.1_ASM29509v1	s__Actinomyces_timonensis.json	521393.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces timonensis				0.0	s__Actinomyces_timonensis	species
2.0	Human	525246.0		GCF_000159035.1	643886015.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Vagina	Reproductive system	Gram+	Facultative anaerobe	0.0	Nonmotile			2614023.0	2453.0	1796580.0	69.0	2403.0	97.96	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/035/GCF_000159035.1_ASM15903v1	s__Actinomyces_urogenitalis.json	525246.0	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces urogenitalis		Actinomyces urogenitalis DSM 15434 (525246.3)	525246.3		s__Actinomyces_urogenitalis	species
0.0	Human	1834198.0	GCF_001688705.2	GCF_001688705.2	2721755613.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Mammals	Unclassified	Unclassified	Gram+	0	0.0	0	0.0	0.0	3802817.0	3877.0	2077942.0	55.0	3813.0	98.35	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/705/GCF_001688705.2_ASM168870v2	s__Acutalibacter_muris.json	1834198.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__Acutalibacter muris	0.0			0.0	s__Acutalibacter_muris	species
0.0	Human	1776382.0	GCF_900048895.1	GCF_900048895.1		PMID:30745586	Literature research									Gram+												ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/048/895/GCF_900048895.1_PRJEB12697	s__Acutalibacter_timonensis.json	1776382.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__Acutalibacter timonensis					s__Acutalibacter_timonensis	species
1.0	Mouse	1235794.0		GCF_000403355.2	2563367219.0	PMID:27670113	Literature research	0.0	0.0	Yes		0	0	0	0	Gram+	Anaerobe	0.0	0	0.0	0.0	2943296.0	2513.0	1887437.0	64.0	2455.0	97.69	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/355/GCF_000403355.2_Ente_caec_B7_V1	s__Adlercreutzia_caecimuris.json	1235794.0	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia caecimuris		Enterorhabdus caecimuris B7 (1235794.3)	1235794.3		s__Adlercreutzia_caecimuris	species
0.0	Human	1384484.0		GCF_000478885.1	2597489914.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Large intestine	Digestive system	Gram+	0	0.0	0	0.0	0.0	2862526.0	2321.0	1816538.0	63.0	2264.0	97.54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/885/GCF_000478885.1_ASM47888v1	s__Adlercreutzia_equolifaciens.json	1384484.0	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia equolifaciens				0.0	s__Adlercreutzia_equolifaciens	species
0.0	Mouse	1121866.0		GCF_000422625.1	2524023091.0	PMID:27670113	Literature research	0.0	0.0	Yes	0.0	Host-associated	Mammals	Unclassified	Unclassified	Gram+	Anaerobe	0.0	Nonmotile		0.0	3013434.0	2502.0	1937896.0	64.0	2436.0	97.36	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/625/GCF_000422625.1_ASM42262v1	s__Adlercreutzia_mucosicola.json	1121866.0	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia mucosicola					s__Adlercreutzia_mucosicola	species
0.0	Mouse	1796610.0	GCF_008831045.1			PMID:27670113	Literature research									Gram+	0											https://www.ncbi.nlm.nih.gov/assembly/GCF_008831045.1/	s__Adlercreutzia_muris.json	1796610.0	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia muris					s__Adlercreutzia_muris	species
